4096
469	1 9	1 11	1 20	1 22
470	1 9	1 11	1 22	1 24
471	1 9	1 11	1 13	1 15
472	1 9	1 11	1 17	1 19
473	1 9	1 11	1 19	1 21
474	1 9	1 11	1 21	1 23
475	1 9	1 11	1 25	1 27
476	1 9	1 11	1 27	1 29
477	1 9	1 11	1 30	1 32
478	1 9	1 11	1 32	1 34
479	1 9	1 11	1 34	1 36
480	1 9	1 11	1 36	1 38
481	1 9	1 11	1 42	1 44
482	1 9	1 11	1 44	1 46
483	1 9	1 11	1 46	1 48
484	1 9	1 11	1 48	1 50
485	1 9	1 11	1 39	1 41
486	1 9	1 11	1 41	1 43
487	1 9	1 11	1 43	1 45
488	1 9	1 11	1 45	1 47
489	1 9	1 11	1 47	1 49
490	1 9	1 11	1 49	1 51
491	1 9	1 11	1 51	1 53
492	1 9	1 11	1 50	1 52
493	1 9	1 11	1 52	1 54
494	1 9	1 11	1 54	1 56
495	1 9	1 11	1 56	1 58
496	1 9	1 11	1 58	1 60
497	1 9	1 11	1 60	1 62
498	1 9	1 11	1 62	1 64
499	1 9	1 11	1 64	1 66
500	1 9	1 11	1 66	1 68
501	1 9	1 11	1 53	1 55
502	1 9	1 11	1 55	1 57
503	1 9	1 11	1 57	1 59
504	1 9	1 11	1 59	1 61
505	1 9	1 11	1 61	1 63
506	1 9	1 11	1 63	1 65
507	1 9	1 11	1 65	1 67
508	1 9	1 11	1 67	1 69
509	1 9	1 11	1 69	1 71
510	1 9	1 11	1 70	1 72
511	1 9	1 11	1 72	1 2
512	1 9	1 11	1 4	1 6
513	1 9	1 11	1 6	1 8
514	1 10	1 12	1 11	1 13
515	1 10	1 12	1 13	1 15
516	1 10	1 12	1 15	1 17
517	1 10	1 12	1 23	1 25
518	1 10	1 12	1 25	1 27
519	1 10	1 12	1 27	1 29
520	1 10	1 12	1 29	1 31
521	1 10	1 12	1 14	1 16
522	1 10	1 12	1 18	1 20
523	1 10	1 12	1 22	1 24
524	1 10	1 12	1 28	1 30
525	1 10	1 12	1 30	1 32
526	1 10	1 12	1 31	1 33
527	1 10	1 12	1 33	1 35
528	1 10	1 12	1 35	1 37
529	1 10	1 12	1 37	1 39
530	1 10	1 12	1 39	1 41
531	1 10	1 12	1 41	1 43
532	1 10	1 12	1 43	1 45
533	1 10	1 12	1 45	1 47
534	1 10	1 12	1 47	1 49
535	1 10	1 12	1 49	1 51
536	1 10	1 12	1 34	1 36
537	1 10	1 12	1 36	1 38
538	1 10	1 12	1 38	1 40
539	1 10	1 12	1 40	1 42
540	1 10	1 12	1 42	1 44
541	1 10	1 12	1 44	1 46
542	1 10	1 12	1 46	1 48
543	1 10	1 12	1 48	1 50
544	1 10	1 12	1 50	1 52
545	1 10	1 12	1 52	1 54
546	1 10	1 12	1 51	1 53
547	1 10	1 12	1 53	1 55
548	1 10	1 12	1 55	1 57
549	1 10	1 12	1 57	1 59
550	1 10	1 12	1 61	1 63
551	1 10	1 12	1 63	1 65
552	1 10	1 12	1 65	1 67
553	1 10	1 12	1 67	1 69
554	1 10	1 12	1 69	1 71
555	1 10	1 12	1 54	1 56
556	1 10	1 12	1 56	1 58
557	1 10	1 12	1 58	1 60
558	1 10	1 12	1 60	1 62
559	1 10	1 12	1 66	1 68
560	1 10	1 12	1 68	1 70
561	1 10	1 12	1 70	1 72
562	1 10	1 12	1 72	1 2
563	1 10	1 12	1 1	1 3
564	1 10	1 12	1 3	1 5
565	1 10	1 12	1 5	1 7
566	1 10	1 12	1 9	1 11
567	1 11	1 13	1 12	1 14
568	1 11	1 13	1 14	1 16
569	1 11	1 13	1 16	1 18
570	1 11	1 13	1 18	1 20
571	1 11	1 13	1 24	1 26
572	1 11	1 13	1 26	1 28
573	1 11	1 13	1 28	1 30
574	1 11	1 13	1 30	1 32
575	1 11	1 13	1 17	1 19
576	1 11	1 13	1 19	1 21
577	1 11	1 13	1 25	1 27
578	1 11	1 13	1 27	1 29
579	1 11	1 13	1 29	1 31
580	1 11	1 13	1 33	1 35
581	1 11	1 13	1 32	1 34
582	1 11	1 13	1 34	1 36
583	1 11	1 13	1 36	1 38
584	1 11	1 13	1 38	1 40
585	1 11	1 13	1 40	1 42
586	1 11	1 13	1 42	1 44
587	1 11	1 13	1 44	1 46
588	1 11	1 13	1 46	1 48
589	1 11	1 13	1 48	1 50
590	1 11	1 13	1 50	1 52
591	1 11	1 13	1 35	1 37
592	1 11	1 13	1 39	1 41
593	1 11	1 13	1 41	1 43
594	1 11	1 13	1 43	1 45
595	1 11	1 13	1 45	1 47
596	1 11	1 13	1 47	1 49
597	1 11	1 13	1 49	1 51
598	1 11	1 13	1 51	1 53
599	1 11	1 13	1 53	1 55
600	1 11	1 13	1 52	1 54
601	1 11	1 13	1 54	1 56
602	1 11	1 13	1 60	1 62
603	1 11	1 13	1 62	1 64
604	1 11	1 13	1 64	1 66
605	1 11	1 13	1 66	1 68
606	1 11	1 13	1 68	1 70
607	1 11	1 13	1 55	1 57
608	1 11	1 13	1 57	1 59
609	1 11	1 13	1 59	1 61
610	1 11	1 13	1 61	1 63
611	1 11	1 13	1 63	1 65
612	1 11	1 13	1 65	1 67
613	1 11	1 13	1 67	1 69
614	1 11	1 13	1 69	1 71
615	1 11	1 13	1 71	1 1
616	1 11	1 13	1 1	1 3
617	1 11	1 13	1 72	1 2
618	1 11	1 13	1 2	1 4
619	1 11	1 13	1 4	1 6
620	1 11	1 13	1 6	1 8
621	1 11	1 13	1 8	1 10
622	1 11	1 13	1 10	1 12
623	1 12	1 14	1 15	1 17
624	1 12	1 14	1 17	1 19
625	1 12	1 14	1 19	1 21
626	1 12	1 14	1 23	1 25
627	1 12	1 14	1 25	1 27
628	1 12	1 14	1 27	1 29
629	1 12	1 14	1 29	1 31
630	1 12	1 14	1 31	1 33
631	1 12	1 14	1 18	1 20
632	1 12	1 14	1 20	1 22
633	1 12	1 14	1 28	1 30
634	1 12	1 14	1 30	1 32
635	1 12	1 14	1 32	1 34
636	1 12	1 14	1 34	1 36
637	1 12	1 14	1 33	1 35
638	1 12	1 14	1 35	1 37
639	1 12	1 14	1 37	1 39
640	1 12	1 14	1 39	1 41
641	1 12	1 14	1 41	1 43
642	1 12	1 14	1 43	1 45
643	1 12	1 14	1 45	1 47
644	1 12	1 14	1 49	1 51
645	1 12	1 14	1 51	1 53
646	1 12	1 14	1 36	1 38
647	1 12	1 14	1 38	1 40
648	1 12	1 14	1 40	1 42
649	1 12	1 14	1 42	1 44
650	1 12	1 14	1 48	1 50
651	1 12	1 14	1 50	1 52
652	1 12	1 14	1 52	1 54
653	1 12	1 14	1 54	1 56
654	1 12	1 14	1 53	1 55
655	1 12	1 14	1 55	1 57
656	1 12	1 14	1 57	1 59
657	1 12	1 14	1 61	1 63
658	1 12	1 14	1 63	1 65
659	1 12	1 14	1 65	1 67
660	1 12	1 14	1 67	1 69
661	1 12	1 14	1 69	1 71
662	1 12	1 14	1 71	1 1
663	1 12	1 14	1 56	1 58
664	1 12	1 14	1 58	1 60
665	1 12	1 14	1 60	1 62
666	1 12	1 14	1 62	1 64
667	1 12	1 14	1 64	1 66
668	1 12	1 14	1 66	1 68
669	1 12	1 14	1 70	1 72
670	1 12	1 14	1 72	1 2
671	1 12	1 14	1 2	1 4
672	1 13	1 15	1 16	1 18
673	1 13	1 15	1 18	1 20
674	1 13	1 15	1 20	1 22
675	1 13	1 15	1 24	1 26
676	1 13	1 15	1 26	1 28
677	1 13	1 15	1 28	1 30
678	1 13	1 15	1 30	1 32
679	1 13	1 15	1 32	1 34
680	1 13	1 15	1 17	1 19
681	1 13	1 15	1 19	1 21
682	1 13	1 15	1 21	1 23
683	1 13	1 15	1 23	1 25
684	1 13	1 15	1 27	1 29
685	1 13	1 15	1 29	1 31
686	1 13	1 15	1 31	1 33
687	1 13	1 15	1 33	1 35
688	1 13	1 15	1 35	1 37
689	1 13	1 15	1 34	1 36
690	1 13	1 15	1 36	1 38
691	1 13	1 15	1 38	1 40
692	1 13	1 15	1 40	1 42
693	1 13	1 15	1 42	1 44
694	1 13	1 15	1 44	1 46
695	1 13	1 15	1 46	1 48
696	1 13	1 15	1 48	1 50
697	1 13	1 15	1 50	1 52
698	1 13	1 15	1 37	1 39
699	1 13	1 15	1 39	1 41
700	1 13	1 15	1 41	1 43
701	1 13	1 15	1 43	1 45
702	1 13	1 15	1 45	1 47
703	1 13	1 15	1 47	1 49
704	1 13	1 15	1 49	1 51
