,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,45.00,37.00,80776.47,0.34,0.00,-173.42,-593.459,7.931
,Mixed / non conventional,72.00,65.00,37.00,29.00,182173.42,0.43,0.00,108.15,-604.124,7.950
,Mixed / non conventional,72.00,65.00,29.00,21.00,360456.16,0.43,0.00,-115.08,-639.673,7.950
,Mixed / non conventional,72.00,65.00,68.00,67.00,3500.66,0.30,0.00,4.33,954.433,7.906
,Mixed / non conventional,72.00,65.00,67.00,66.00,2150.07,0.30,0.00,-165.56,1442.959,7.906
,Mixed / non conventional,72.00,65.00,66.00,58.00,1388.01,0.39,0.00,-43.38,-1320.785,7.847
,Mixed / non conventional,72.00,65.00,58.00,50.00,22230.70,0.40,0.00,101.99,-1394.244,7.847
,Mixed / non conventional,72.00,65.00,50.00,42.00,73389.68,0.18,0.00,25.09,-1028.639,7.957
,Mixed / non conventional,72.00,65.00,42.00,33.00,103713.18,0.19,0.00,-211.87,-595.789,7.957
,Mixed / non conventional,72.00,65.00,70.00,63.00,-747.05,0.10,0.00,-7.10,-641.070,7.827
,Mixed / non conventional,72.00,65.00,4.00,5.00,2054108.88,0.69,0.00,-78.37,136.944,7.795
,Mixed / non conventional,72.00,65.00,14.00,15.00,3246736.50,0.70,0.00,224.04,367.593,7.933
,Mixed / non conventional,72.00,65.00,15.00,7.00,443966.00,0.71,0.00,-333.59,-335.967,7.933
,Mixed / non conventional,72.00,65.00,22.00,23.00,1306717.63,0.86,0.00,58.31,239.788,7.922
,Mixed / non conventional,72.00,65.00,23.00,31.00,174843.64,0.85,0.00,-28.44,357.149,7.922
,Mixed / non conventional,72.00,65.00,31.00,30.00,182136.20,1.87,0.00,-20.85,-60.178,7.996
,Mixed / non conventional,72.00,65.00,30.00,22.00,280078.31,1.87,0.00,-8.71,-536.836,7.996
,Mixed / non conventional,72.00,65.00,40.00,48.00,34515.43,0.77,0.00,-196.95,367.841,7.965
,Mixed / non conventional,72.00,65.00,48.00,47.00,-50904.11,0.77,0.00,199.99,103.333,7.965
,Mixed / non conventional,72.00,65.00,47.00,39.00,46103.55,0.41,0.00,-19.95,-430.579,7.933
,Mixed / non conventional,72.00,65.00,39.00,31.00,92504.73,0.41,0.00,-8.22,-366.384,7.933
,Mixed / non conventional,72.00,65.00,31.00,22.00,269420.00,0.61,0.00,-29.89,-596.485,7.878
,Mixed / non conventional,72.00,65.00,22.00,14.00,506592.31,0.61,0.00,-166.75,-564.914,7.878
,Mixed / non conventional,72.00,65.00,14.00,6.00,1141184.00,1.21,0.00,-45.33,-821.510,7.952
,Mixed / non conventional,72.00,65.00,39.00,40.00,-54427.60,0.27,0.00,17.26,-40.259,7.857
,Mixed / non conventional,72.00,65.00,40.00,31.00,69907.04,0.27,0.00,-25.52,-325.948,7.857
,Mixed / non conventional,72.00,65.00,38.00,39.00,-120086.82,0.26,0.00,61.49,-80.155,7.865
,Mixed / non conventional,72.00,65.00,56.00,64.00,357.05,0.26,0.00,12.71,369.770,7.874
,Mixed / non conventional,72.00,65.00,64.00,63.00,-281.18,0.30,0.00,23.46,171.292,7.874
,Mixed / non conventional,72.00,65.00,63.00,55.00,1036.72,0.67,0.00,-39.77,-448.951,7.825
