,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,28.00,19.00,234902.55,0.61,0.00,-135.19,-50.645,0.948
,Mixed / non conventional,72.00,65.00,19.00,11.00,859969.75,0.18,0.00,94.40,-120.377,1.179
,Mixed / non conventional,72.00,65.00,11.00,2.00,-301172.38,0.16,0.00,-67.45,30.385,1.179
,Mixed / non conventional,72.00,65.00,42.00,41.00,-501885.75,0.64,0.00,-105.83,50.526,0.859
,Mixed / non conventional,72.00,65.00,41.00,33.00,230826.38,0.64,0.00,-3.47,-119.913,0.859
,Mixed / non conventional,72.00,65.00,44.00,43.00,-347539.41,0.30,0.00,199.32,50.701,0.982
,Mixed / non conventional,72.00,65.00,43.00,42.00,-473982.00,0.30,0.00,-192.59,61.282,0.982
,Mixed / non conventional,72.00,65.00,42.00,34.00,175055.88,1.94,0.00,-48.91,-95.577,0.816
,Mixed / non conventional,72.00,65.00,34.00,25.00,174975.67,1.94,0.00,-69.95,-50.439,0.816
,Mixed / non conventional,72.00,65.00,46.00,45.00,-179341.72,0.32,0.00,112.65,40.368,1.172
,Mixed / non conventional,72.00,65.00,45.00,44.00,-249594.95,0.32,0.00,7.39,49.253,1.172
,Mixed / non conventional,72.00,65.00,44.00,36.00,105979.30,0.38,0.00,37.48,-85.016,0.969
,Mixed / non conventional,72.00,65.00,36.00,27.00,126482.71,0.38,0.00,81.76,-50.957,0.969
,Mixed / non conventional,72.00,65.00,27.00,19.00,478763.88,0.16,0.00,-179.03,-109.492,1.176
,Mixed / non conventional,72.00,65.00,19.00,10.00,155253.89,0.16,0.00,-10.71,-23.773,1.176
,Mixed / non conventional,72.00,65.00,10.00,3.00,2916868.75,1.42,0.00,57.01,-48.339,0.250
,Mixed / non conventional,72.00,65.00,51.00,50.00,-252099.55,0.14,0.00,-283.34,69.289,0.665
,Mixed / non conventional,72.00,65.00,50.00,49.00,-216024.58,0.13,0.00,-53.32,50.070,0.665
,Mixed / non conventional,72.00,65.00,49.00,41.00,115662.75,0.55,0.00,62.76,-48.437,0.274
,Mixed / non conventional,72.00,65.00,53.00,52.00,-104244.12,0.49,0.00,101.55,50.360,0.803
,Mixed / non conventional,72.00,65.00,55.00,47.00,9365.36,0.22,0.00,-13.65,-44.775,1.172
,Mixed / non conventional,72.00,65.00,47.00,40.00,44934.74,0.21,0.00,78.83,-57.064,1.172
,Mixed / non conventional,72.00,65.00,40.00,32.00,75006.01,0.35,0.00,-139.26,-48.377,1.176
,Mixed / non conventional,72.00,65.00,32.00,31.00,311844.91,0.37,0.00,-13.82,-16.426,1.176
,Mixed / non conventional,72.00,65.00,31.00,24.00,154214.78,0.03,0.00,-159.91,-42.063,1.170
