,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,20.00,12.00,1366234.13,0.75,0.00,-49.17,-188.605,1.098,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,4.00,4020528.25,0.82,0.00,-43.08,-360.816,1.098,MA72B65Rec
,Mixed / non conventional,72.00,65.00,24.00,16.00,353641.63,0.50,0.00,-27.08,-50.451,0.891,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,15.00,3830949.25,0.51,0.00,198.08,-51.551,0.891,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1460809.50,0.79,0.00,44.75,44.884,1.082,MA72B65Rec
,Mixed / non conventional,72.00,65.00,25.00,17.00,474439.59,0.79,0.00,-42.99,-87.541,1.082,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1202275.75,0.58,0.00,-26.39,42.992,1.090,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1249510.63,0.59,0.00,-323.58,41.536,1.090,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,18.00,484343.09,0.59,0.00,-33.90,-96.080,1.090,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,9.00,129464.09,0.58,0.00,100.57,-17.377,1.090,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,29.00,-27494.34,0.33,0.00,-33.13,1.138,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,28.00,-730266.56,0.75,0.00,217.95,27.998,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,20.00,592917.13,0.81,0.00,-41.16,-133.840,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,11.00,413321.34,0.87,0.00,-120.58,-61.784,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,3.00,1669032.25,0.84,0.00,-0.24,-140.760,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,24.00,239013.75,1.09,0.00,-196.90,-50.400,0.759,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,33.00,-689000.44,0.35,0.00,-45.34,40.099,1.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,33.00,25.00,354766.78,0.35,0.00,22.90,-116.804,1.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,35.00,-683045.38,0.15,0.00,316.92,47.847,1.104,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,34.00,-667805.00,0.13,0.00,-400.75,42.715,1.104,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,26.00,341927.28,0.14,0.00,-67.01,-122.584,1.104,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,17.00,196422.47,0.15,0.00,1.93,-43.154,1.104,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,37.00,-150591.70,0.69,0.00,-115.22,12.772,1.105,MA72B65Rec
,Mixed / non conventional,72.00,65.00,37.00,36.00,-410533.75,0.56,0.00,68.32,31.603,1.105,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,28.00,279117.94,0.58,0.00,198.08,-118.024,1.105,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,19.00,282495.03,0.59,0.00,-279.24,-70.947,1.105,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,11.00,972221.00,0.59,0.00,116.33,-127.528,1.105,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,2.00,-312808.50,0.52,0.00,-23.60,29.574,1.105,MA72B65Rec
