,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1448357.00,0.18,0.00,52.16,47.806,1.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,25.00,17.00,489427.75,0.18,0.00,-56.64,-97.013,1.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1164391.50,0.19,0.00,4.75,97.945,2.563,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1216823.25,0.17,0.00,-286.27,95.150,2.563,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,18.00,507262.06,0.18,0.00,-29.08,-236.707,2.563,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,9.00,156335.95,0.15,0.00,82.74,-49.362,2.563,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,29.00,-24367.74,0.09,0.00,-21.74,4.419,4.749,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,28.00,-680939.88,0.07,0.00,151.67,114.371,4.749,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,20.00,597982.25,0.06,0.00,-58.28,-591.343,4.749,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,11.00,502901.75,0.06,0.00,-87.13,-329.331,4.749,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,3.00,1869991.25,0.35,0.00,-11.05,-49.955,0.343,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,24.00,234520.44,0.22,0.00,-134.38,-47.341,0.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,33.00,-688634.38,0.22,0.00,-28.41,47.888,1.311,MA72B65Rec
,Mixed / non conventional,72.00,65.00,33.00,25.00,365030.22,0.19,0.00,7.48,-143.607,1.311,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,35.00,-679617.13,0.14,0.00,222.89,54.187,1.257,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,34.00,-659512.13,0.16,0.00,-313.93,48.015,1.257,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,26.00,352548.75,0.14,0.00,-72.76,-143.861,1.257,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,17.00,213611.94,0.12,0.00,-3.84,-53.417,1.257,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,37.00,-150254.27,0.21,0.00,-113.71,50.057,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,37.00,36.00,-401893.66,0.21,0.00,100.98,121.529,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,28.00,284529.91,0.21,0.00,114.55,-472.606,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,19.00,307111.47,0.21,0.00,-230.81,-302.975,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,11.00,1046210.88,0.21,0.00,86.56,-539.074,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,2.00,-238409.73,0.24,0.00,-21.19,88.540,4.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,41.00,-474291.72,0.47,0.00,-43.93,47.942,0.863,MA72B65Rec
,Mixed / non conventional,72.00,65.00,41.00,33.00,249536.03,0.47,0.00,43.81,-130.161,0.863,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,43.00,-331183.44,0.34,0.00,384.99,47.663,0.969,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,42.00,-482637.50,0.32,0.00,-417.38,61.559,0.969,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,34.00,196937.38,0.31,0.00,28.01,-127.671,0.969,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,25.00,205126.56,0.33,0.00,-20.89,-70.209,0.969,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,45.00,-157270.91,0.49,0.00,110.49,52.152,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,44.00,-224870.25,0.48,0.00,-72.86,65.371,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,36.00,121286.54,0.47,0.00,87.22,-173.255,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,27.00,168445.53,0.48,0.00,122.78,-120.843,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,19.00,551213.88,0.48,0.00,-233.32,-185.100,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,10.00,216165.47,0.47,0.00,34.93,-48.602,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,3.00,3758281.75,0.47,0.00,47.98,-430.031,1.726,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,50.00,-255546.92,0.89,0.00,-289.81,69.874,0.661,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,49.00,-207806.88,0.90,0.00,-194.05,47.917,0.661,MA72B65Rec
,Mixed / non conventional,72.00,65.00,49.00,41.00,117774.14,0.90,0.00,211.72,-119.185,0.661,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,52.00,-95911.69,0.63,0.00,70.42,47.507,0.824,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,47.00,11708.35,0.28,0.00,-43.55,-147.490,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,40.00,63702.32,0.28,0.00,165.74,-213.153,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,32.00,98254.09,0.28,0.00,-231.22,-166.517,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,31.00,358500.13,0.27,0.00,34.47,-49.620,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,24.00,218834.02,0.27,0.00,-167.52,-157.583,3.089,MA72B65Rec
