3406
415	1 9	1 11	1 10	1 12
416	1 9	1 11	1 12	1 14
417	1 9	1 11	1 14	1 16
418	1 9	1 11	1 18	1 20
419	1 9	1 11	1 20	1 22
420	1 9	1 11	1 22	1 24
421	1 9	1 11	1 24	1 26
422	1 9	1 11	1 26	1 28
423	1 9	1 11	1 28	1 30
424	1 9	1 11	1 13	1 15
425	1 9	1 11	1 17	1 19
426	1 9	1 11	1 19	1 21
427	1 9	1 11	1 21	1 23
428	1 9	1 11	1 23	1 25
429	1 9	1 11	1 25	1 27
430	1 9	1 11	1 27	1 29
431	1 9	1 11	1 30	1 32
432	1 9	1 11	1 34	1 36
433	1 9	1 11	1 36	1 38
434	1 9	1 11	1 38	1 40
435	1 9	1 11	1 42	1 44
436	1 9	1 11	1 44	1 46
437	1 9	1 11	1 46	1 48
438	1 9	1 11	1 48	1 50
439	1 9	1 11	1 33	1 35
440	1 9	1 11	1 35	1 37
441	1 9	1 11	1 37	1 39
442	1 9	1 11	1 41	1 43
443	1 9	1 11	1 43	1 45
444	1 9	1 11	1 45	1 47
445	1 9	1 11	1 47	1 49
446	1 9	1 11	1 49	1 51
447	1 9	1 11	1 51	1 53
448	1 9	1 11	1 50	1 52
449	1 9	1 11	1 52	1 54
450	1 9	1 11	1 54	1 56
451	1 9	1 11	1 56	1 58
452	1 9	1 11	1 58	1 60
453	1 9	1 11	1 60	1 62
454	1 9	1 11	1 62	1 64
455	1 9	1 11	1 64	1 66
456	1 9	1 11	1 66	1 68
457	1 9	1 11	1 68	1 70
458	1 9	1 11	1 53	1 55
459	1 9	1 11	1 55	1 57
460	1 9	1 11	1 57	1 59
461	1 9	1 11	1 59	1 61
462	1 9	1 11	1 61	1 63
463	1 9	1 11	1 63	1 65
464	1 9	1 11	1 65	1 67
465	1 9	1 11	1 67	1 69
466	1 9	1 11	1 69	1 71
467	1 9	1 11	1 70	1 72
468	1 9	1 11	1 2	1 4
469	1 9	1 11	1 4	1 6
470	1 9	1 11	1 6	1 8
471	1 10	1 12	1 11	1 13
472	1 10	1 12	1 13	1 15
473	1 10	1 12	1 17	1 19
474	1 10	1 12	1 19	1 21
475	1 10	1 12	1 21	1 23
476	1 10	1 12	1 23	1 25
477	1 10	1 12	1 25	1 27
478	1 10	1 12	1 27	1 29
479	1 10	1 12	1 14	1 16
480	1 10	1 12	1 18	1 20
481	1 10	1 12	1 22	1 24
482	1 10	1 12	1 24	1 26
483	1 10	1 12	1 26	1 28
484	1 10	1 12	1 28	1 30
485	1 10	1 12	1 33	1 35
486	1 10	1 12	1 35	1 37
487	1 10	1 12	1 37	1 39
488	1 10	1 12	1 41	1 43
489	1 10	1 12	1 43	1 45
490	1 10	1 12	1 45	1 47
491	1 10	1 12	1 47	1 49
492	1 10	1 12	1 49	1 51
493	1 10	1 12	1 34	1 36
494	1 10	1 12	1 36	1 38
495	1 10	1 12	1 38	1 40
496	1 10	1 12	1 42	1 44
497	1 10	1 12	1 44	1 46
498	1 10	1 12	1 46	1 48
499	1 10	1 12	1 50	1 52
500	1 10	1 12	1 52	1 54
501	1 10	1 12	1 51	1 53
502	1 10	1 12	1 53	1 55
503	1 10	1 12	1 55	1 57
504	1 10	1 12	1 57	1 59
505	1 10	1 12	1 59	1 61
506	1 10	1 12	1 61	1 63
507	1 10	1 12	1 63	1 65
508	1 10	1 12	1 65	1 67
509	1 10	1 12	1 67	1 69
510	1 10	1 12	1 69	1 71
511	1 10	1 12	1 54	1 56
512	1 10	1 12	1 56	1 58
513	1 10	1 12	1 58	1 60
514	1 10	1 12	1 60	1 62
515	1 10	1 12	1 62	1 64
516	1 10	1 12	1 64	1 66
517	1 10	1 12	1 66	1 68
518	1 10	1 12	1 68	1 70
519	1 10	1 12	1 70	1 72
520	1 10	1 12	1 1	1 3
521	1 10	1 12	1 3	1 5
522	1 10	1 12	1 9	1 11
523	1 11	1 13	1 12	1 14
524	1 11	1 13	1 14	1 16
525	1 11	1 13	1 18	1 20
526	1 11	1 13	1 20	1 22
527	1 11	1 13	1 22	1 24
528	1 11	1 13	1 24	1 26
529	1 11	1 13	1 26	1 28
530	1 11	1 13	1 28	1 30
531	1 11	1 13	1 30	1 32
532	1 11	1 13	1 17	1 19
533	1 11	1 13	1 19	1 21
534	1 11	1 13	1 25	1 27
535	1 11	1 13	1 27	1 29
536	1 11	1 13	1 29	1 31
537	1 11	1 13	1 33	1 35
538	1 11	1 13	1 34	1 36
539	1 11	1 13	1 36	1 38
540	1 11	1 13	1 38	1 40
541	1 11	1 13	1 42	1 44
542	1 11	1 13	1 44	1 46
543	1 11	1 13	1 46	1 48
544	1 11	1 13	1 50	1 52
545	1 11	1 13	1 35	1 37
546	1 11	1 13	1 37	1 39
547	1 11	1 13	1 41	1 43
548	1 11	1 13	1 43	1 45
549	1 11	1 13	1 45	1 47
550	1 11	1 13	1 49	1 51
551	1 11	1 13	1 51	1 53
552	1 11	1 13	1 53	1 55
553	1 11	1 13	1 52	1 54
554	1 11	1 13	1 54	1 56
555	1 11	1 13	1 56	1 58
556	1 11	1 13	1 58	1 60
557	1 11	1 13	1 60	1 62
558	1 11	1 13	1 62	1 64
559	1 11	1 13	1 64	1 66
560	1 11	1 13	1 66	1 68
561	1 11	1 13	1 68	1 70
562	1 11	1 13	1 70	1 72
563	1 11	1 13	1 55	1 57
564	1 11	1 13	1 57	1 59
565	1 11	1 13	1 59	1 61
566	1 11	1 13	1 61	1 63
567	1 11	1 13	1 63	1 65
568	1 11	1 13	1 65	1 67
569	1 11	1 13	1 67	1 69
570	1 11	1 13	1 69	1 71
571	1 11	1 13	1 1	1 3
572	1 11	1 13	1 2	1 4
573	1 11	1 13	1 4	1 6
574	1 11	1 13	1 6	1 8
575	1 11	1 13	1 10	1 12
576	1 12	1 14	1 13	1 15
577	1 12	1 14	1 17	1 19
578	1 12	1 14	1 19	1 21
579	1 12	1 14	1 21	1 23
580	1 12	1 14	1 25	1 27
581	1 12	1 14	1 27	1 29
582	1 12	1 14	1 29	1 31
583	1 12	1 14	1 20	1 22
584	1 12	1 14	1 24	1 26
585	1 12	1 14	1 26	1 28
586	1 12	1 14	1 28	1 30
587	1 12	1 14	1 30	1 32
588	1 12	1 14	1 34	1 36
589	1 12	1 14	1 33	1 35
590	1 12	1 14	1 35	1 37
591	1 12	1 14	1 37	1 39
592	1 12	1 14	1 41	1 43
593	1 12	1 14	1 43	1 45
594	1 12	1 14	1 45	1 47
595	1 12	1 14	1 49	1 51
596	1 12	1 14	1 51	1 53
597	1 12	1 14	1 36	1 38
598	1 12	1 14	1 38	1 40
599	1 12	1 14	1 42	1 44
600	1 12	1 14	1 44	1 46
601	1 12	1 14	1 46	1 48
602	1 12	1 14	1 50	1 52
603	1 12	1 14	1 52	1 54
604	1 12	1 14	1 54	1 56
605	1 12	1 14	1 53	1 55
606	1 12	1 14	1 55	1 57
607	1 12	1 14	1 57	1 59
608	1 12	1 14	1 59	1 61
609	1 12	1 14	1 61	1 63
610	1 12	1 14	1 63	1 65
611	1 12	1 14	1 65	1 67
612	1 12	1 14	1 67	1 69
613	1 12	1 14	1 69	1 71
614	1 12	1 14	1 56	1 58
615	1 12	1 14	1 58	1 60
616	1 12	1 14	1 60	1 62
617	1 12	1 14	1 62	1 64
618	1 12	1 14	1 64	1 66
619	1 12	1 14	1 66	1 68
620	1 12	1 14	1 68	1 70
621	1 12	1 14	1 70	1 72
622	1 12	1 14	1 2	1 4
623	1 13	1 15	1 14	1 16
624	1 13	1 15	1 18	1 20
625	1 13	1 15	1 20	1 22
626	1 13	1 15	1 22	1 24
627	1 13	1 15	1 28	1 30
628	1 13	1 15	1 30	1 32
629	1 13	1 15	1 17	1 19
630	1 13	1 15	1 21	1 23
631	1 13	1 15	1 27	1 29
632	1 13	1 15	1 29	1 31
633	1 13	1 15	1 35	1 37
634	1 13	1 15	1 34	1 36
635	1 13	1 15	1 36	1 38
636	1 13	1 15	1 38	1 40
637	1 13	1 15	1 42	1 44
638	1 13	1 15	1 44	1 46
639	1 13	1 15	1 46	1 48
640	1 13	1 15	1 50	1 52
641	1 13	1 15	1 52	1 54
642	1 13	1 15	1 37	1 39
643	1 13	1 15	1 41	1 43
644	1 13	1 15	1 43	1 45
645	1 13	1 15	1 45	1 47
646	1 13	1 15	1 49	1 51
647	1 13	1 15	1 51	1 53
648	1 13	1 15	1 53	1 55
649	1 13	1 15	1 55	1 57
650	1 13	1 15	1 54	1 56
651	1 13	1 15	1 56	1 58
652	1 13	1 15	1 58	1 60
653	1 13	1 15	1 60	1 62
654	1 13	1 15	1 62	1 64
655	1 13	1 15	1 64	1 66
656	1 13	1 15	1 66	1 68
657	1 13	1 15	1 68	1 70
658	1 13	1 15	1 70	1 72
659	1 13	1 15	1 57	1 59
660	1 13	1 15	1 59	1 61
