a,b,m,n
14,16,26,28
14,16,28,30
14,16,30,32
14,16,32,34
14,16,34,36
14,16,36,38
14,16,35,37
14,16,37,39
14,16,39,41
14,16,41,43
14,16,43,45
14,16,45,47
14,16,47,49
14,16,49,51
14,16,51,53
14,16,53,55
14,16,38,40
14,16,40,42
14,16,42,44
14,16,44,46
14,16,46,48
14,16,48,50
14,16,50,52
14,16,52,54
14,16,54,56
14,16,56,58
14,16,55,57
14,16,57,59
14,16,59,61
14,16,61,63
14,16,63,65
14,16,65,67
14,16,67,69
14,16,69,71
14,16,71,1
14,16,1,3
14,16,58,60
14,16,60,62
14,16,62,64
14,16,64,66
14,16,66,68
14,16,68,70
14,16,70,72
14,16,72,2
14,16,2,4
14,16,4,6
15,17,16,18
15,17,18,20
15,17,20,22
15,17,22,24
15,17,24,26
15,17,26,28
15,17,28,30
15,17,30,32
15,17,32,34
15,17,34,36
15,17,19,21
15,17,21,23
