1372
246	1 8	1 10	1 44	1 46	-99.03338900762368
247	1 8	1 10	1 48	1 50	208.00269158644272
248	1 8	1 10	1 53	1 55	-61.333869644772534
249	1 8	1 10	1 61	1 63	-49.74388723070088
250	1 8	1 10	1 62	1 64	-29.766987263943786
251	1 8	1 10	1 71	1 1	659.8719939660739
252	1 8	1 10	1 72	1 2	603.2380952380952
253	1 9	1 11	1 10	1 12	344.46926082031257
254	1 9	1 11	1 18	1 20	232.63695773133162
255	1 9	1 11	1 22	1 24	-11.03545451817944
256	1 9	1 11	1 24	1 26	-148.32485593883064
257	1 9	1 11	1 26	1 28	133.0573447480836
258	1 9	1 11	1 28	1 30	11.423271142218784
259	1 9	1 11	1 13	1 15	-29.817222210363838
260	1 9	1 11	1 17	1 19	437.57199137234466
261	1 9	1 11	1 21	1 23	-17.97628925444976
262	1 9	1 11	1 23	1 25	-266.55773834894916
263	1 9	1 11	1 25	1 27	207.90802020218888
264	1 9	1 11	1 27	1 29	52.0386964559827
265	1 9	1 11	1 34	1 36	78.68182841143052
266	1 9	1 11	1 38	1 40	3.6279544149797314
267	1 9	1 11	1 42	1 44	50.88022939541163
268	1 9	1 11	1 46	1 48	5.166482348074917
269	1 9	1 11	1 33	1 35	107.89988987353335
270	1 9	1 11	1 41	1 43	57.68573135550748
271	1 9	1 11	1 54	1 56	6.693422140422506
272	1 9	1 11	1 62	1 64	6.647090442997258
273	1 10	1 12	1 11	1 13	237.34182754669666
274	1 10	1 12	1 13	1 15	-63.97814460401182
275	1 10	1 12	1 17	1 19	216.85474587635494
276	1 10	1 12	1 19	1 21	187.72161839339947
277	1 10	1 12	1 21	1 23	-24.342945932504797
278	1 10	1 12	1 23	1 25	-275.908457549358
279	1 10	1 12	1 25	1 27	137.28386833500673
280	1 10	1 12	1 27	1 29	113.97161940205994
281	1 10	1 12	1 29	1 31	8.383842800028958
282	1 10	1 12	1 14	1 16	-25.918495164301532
283	1 10	1 12	1 18	1 20	355.5508582250993
284	1 10	1 12	1 22	1 24	-16.90141019796615
285	1 10	1 12	1 24	1 26	-217.35291344490972
286	1 10	1 12	1 26	1 28	157.6361632534768
287	1 10	1 12	1 28	1 30	49.05958740637603
288	1 10	1 12	1 31	1 33	-188.20824449651803
289	1 10	1 12	1 33	1 35	83.1789319502759
290	1 10	1 12	1 35	1 37	69.98760120241407
291	1 10	1 12	1 37	1 39	18.82896070360042
