,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,27.00,19.00,511974.78,0.03,0.00,-216.93,-108.612,1.090
,Mixed / non conventional,72.00,65.00,19.00,10.00,91912.66,0.07,0.00,-1.05,-13.055,1.090
,Mixed / non conventional,72.00,65.00,10.00,3.00,2295352.75,0.03,0.00,152.98,-165.922,1.090
,Mixed / non conventional,72.00,65.00,51.00,50.00,-209268.61,0.60,0.00,-157.02,75.463,0.872
,Mixed / non conventional,72.00,65.00,50.00,49.00,-166697.00,0.59,0.00,14.04,50.692,0.872
,Mixed / non conventional,72.00,65.00,49.00,41.00,99743.85,0.58,0.00,27.08,-133.120,0.872
,Mixed / non conventional,72.00,65.00,53.00,52.00,-88348.11,0.34,0.00,44.08,51.045,0.961
,Mixed / non conventional,72.00,65.00,55.00,47.00,14840.91,0.28,0.00,34.25,-65.642,1.085
,Mixed / non conventional,72.00,65.00,47.00,40.00,87389.80,0.29,0.00,-41.18,-102.672,1.085
,Mixed / non conventional,72.00,65.00,40.00,32.00,99871.84,0.29,0.00,-74.90,-59.430,1.085
,Mixed / non conventional,72.00,65.00,32.00,31.00,265234.31,0.30,0.00,53.73,-12.890,1.085
,Mixed / non conventional,72.00,65.00,31.00,24.00,185204.13,0.27,0.00,-204.16,-46.828,1.085
,Mixed / non conventional,72.00,65.00,24.00,23.00,677919.75,0.27,0.00,185.12,-18.204,1.085
,Mixed / non conventional,72.00,65.00,23.00,16.00,201852.72,0.28,0.00,-218.00,-29.632,1.085
,Mixed / non conventional,72.00,65.00,16.00,7.00,625756.13,0.27,0.00,89.96,-74.998,1.085
,Mixed / non conventional,72.00,65.00,59.00,58.00,-42208.92,0.75,0.00,-615.79,50.527,0.411
,Mixed / non conventional,72.00,65.00,58.00,57.00,-58832.38,0.75,0.00,62.87,50.355,0.411
,Mixed / non conventional,72.00,65.00,57.00,49.00,36631.36,0.76,0.00,58.39,-94.121,0.411
,Mixed / non conventional,72.00,65.00,61.00,60.00,-9577.58,0.65,0.00,-3.11,50.658,0.783
,Mixed / non conventional,72.00,65.00,63.00,56.00,1430.89,0.30,0.00,-36.69,-83.243,1.074
,Mixed / non conventional,72.00,65.00,56.00,55.00,-10863.34,0.32,0.00,38.88,13.808,1.074
,Mixed / non conventional,72.00,65.00,55.00,54.00,-38938.12,0.31,0.00,-222.77,38.764,1.074
,Mixed / non conventional,72.00,65.00,54.00,53.00,-56760.84,0.30,0.00,-28.07,45.142,1.074
,Mixed / non conventional,72.00,65.00,53.00,45.00,29983.91,0.29,0.00,117.49,-90.933,1.074
,Mixed / non conventional,72.00,65.00,45.00,37.00,110663.89,0.30,0.00,-83.28,-110.115,1.074
,Mixed / non conventional,72.00,65.00,37.00,29.00,290138.78,0.29,0.00,10.06,-130.007,1.074
,Mixed / non conventional,72.00,65.00,29.00,21.00,482815.47,0.30,0.00,-47.31,-115.772,1.074
,Mixed / non conventional,72.00,65.00,68.00,67.00,3463.25,1.05,0.00,81.54,63.207,0.529
,Mixed / non conventional,72.00,65.00,67.00,66.00,2060.01,1.06,0.00,-444.22,92.546,0.529
,Mixed / non conventional,72.00,65.00,66.00,58.00,1164.46,1.05,0.00,-0.39,-74.733,0.529
,Mixed / non conventional,72.00,65.00,58.00,50.00,20516.14,1.06,0.00,106.82,-86.782,0.529
,Mixed / non conventional,72.00,65.00,50.00,42.00,79926.34,1.05,0.00,-6.60,-74.510,0.529
,Mixed / non conventional,72.00,65.00,42.00,33.00,132271.27,1.09,0.00,34.35,-50.538,0.529
,Mixed / non conventional,72.00,65.00,70.00,63.00,-774.35,0.88,0.00,119.41,-50.613,0.596
,Mixed / non conventional,72.00,65.00,4.00,5.00,-2397283.00,0.46,0.00,-23.62,-22.243,1.085
,Mixed / non conventional,72.00,65.00,14.00,15.00,3417748.50,0.42,0.00,204.60,52.702,1.080
,Mixed / non conventional,72.00,65.00,15.00,7.00,399207.38,0.46,0.00,-91.03,-41.144,1.080
,Mixed / non conventional,72.00,65.00,22.00,23.00,1643622.38,0.12,0.00,107.48,40.709,1.069
,Mixed / non conventional,72.00,65.00,23.00,31.00,234246.27,0.10,0.00,19.43,64.583,1.069
,Mixed / non conventional,72.00,65.00,31.00,30.00,256704.95,0.10,0.00,-190.35,-11.341,1.069
,Mixed / non conventional,72.00,65.00,30.00,22.00,358639.69,0.28,0.00,62.83,-50.906,0.592
,Mixed / non conventional,72.00,65.00,40.00,48.00,56998.66,0.47,0.00,-182.70,81.733,1.072
,Mixed / non conventional,72.00,65.00,48.00,47.00,-72857.59,0.51,0.00,223.75,19.900,1.072
,Mixed / non conventional,72.00,65.00,47.00,39.00,71105.73,0.46,0.00,-60.25,-89.715,1.072
,Mixed / non conventional,72.00,65.00,39.00,31.00,155981.84,0.46,0.00,-2.06,-83.462,1.072
