,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,49.00,41.00,73339.81,0.26,0.00,39.64,-164.724,1.468,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,52.00,-66625.58,0.15,0.00,26.08,46.295,1.155,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,47.00,9852.17,0.20,0.00,-49.24,-121.148,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,40.00,49536.06,0.19,0.00,179.51,-161.799,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,32.00,79021.51,0.20,0.00,-242.26,-130.729,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,31.00,349626.16,0.19,0.00,52.91,-47.238,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,24.00,158774.25,0.20,0.00,-198.52,-111.608,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,24.00,23.00,983817.25,0.20,0.00,160.45,-73.446,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,23.00,16.00,146692.03,0.19,0.00,-200.95,-59.868,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,7.00,846635.75,0.19,0.00,21.62,-282.102,3.016,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,58.00,-32016.84,0.03,0.00,-382.64,71.756,0.769,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,57.00,-29038.82,0.10,0.00,-13.32,46.534,0.769,MA72B65Rec
,Mixed / non conventional,72.00,65.00,57.00,49.00,25652.82,0.09,0.00,-54.91,-123.404,0.769,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,60.00,-7555.68,0.21,0.00,-125.21,46.276,0.907,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,56.00,876.58,0.07,0.00,-136.32,-424.538,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,55.00,-4730.51,0.02,0.00,55.41,50.056,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,54.00,-23213.04,0.07,0.00,-274.69,192.382,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,53.00,-39093.78,0.07,0.00,14.78,258.832,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,45.00,22223.29,0.06,0.00,32.45,-561.078,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,37.00,79442.05,0.07,0.00,-64.36,-658.070,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,37.00,29.00,208218.16,0.05,0.00,83.88,-776.710,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,21.00,448206.81,0.07,0.00,-67.59,-894.711,8.943,MA72B65Rec
,Mixed / non conventional,72.00,65.00,68.00,67.00,2930.52,0.44,0.00,45.05,68.663,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,67.00,66.00,1566.37,0.45,0.00,-175.82,90.339,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,66.00,58.00,944.51,0.45,0.00,-47.50,-77.820,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,50.00,16428.26,0.45,0.00,-48.71,-89.212,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,42.00,61739.66,0.44,0.00,62.87,-73.890,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,33.00,96366.06,0.45,0.00,-37.98,-47.269,0.679,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,63.00,-573.23,0.14,0.00,45.30,-46.416,0.739,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,5.00,11643425.00,0.98,0.00,-1.97,51.338,0.516,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,15.00,3977302.00,0.21,0.00,200.16,57.382,1.011,MA72B65Rec
,Mixed / non conventional,72.00,65.00,15.00,7.00,476065.88,0.28,0.00,-155.79,-45.907,1.011,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,23.00,1811661.63,0.17,0.00,98.77,126.951,3.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,23.00,31.00,237800.19,0.17,0.00,39.04,185.492,3.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,30.00,377203.16,0.18,0.00,-149.37,-47.148,3.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,22.00,348786.78,0.28,0.00,9.69,-47.230,0.565,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,48.00,35197.45,0.10,0.00,-333.22,356.403,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,47.00,-25756.92,0.12,0.00,153.36,49.678,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,39.00,44779.14,0.09,0.00,11.53,-398.961,7.568,MA72B65Rec
