,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,4.00,6.00,40.00,42.00,3916371.50,0.20,0.00,-83.01,-218.466,2.038
,Mixed / non conventional,4.00,6.00,42.00,44.00,-1042057.81,0.10,0.00,67.53,49.410,2.038
,Mixed / non conventional,4.00,6.00,44.00,46.00,-1722860.75,0.12,0.00,-97.93,70.020,2.038
,Mixed / non conventional,4.00,6.00,46.00,48.00,-1534922.25,0.15,0.00,36.76,53.875,2.038
,Mixed / non conventional,4.00,6.00,45.00,47.00,-1751396.88,0.03,0.00,-13.45,171.202,5.279
,Mixed / non conventional,4.00,6.00,47.00,49.00,4289467.50,0.03,0.00,-143.60,-363.388,5.279
,Mixed / non conventional,4.00,6.00,49.00,51.00,-925996.69,0.03,0.00,140.26,68.431,5.279
,Mixed / non conventional,4.00,6.00,51.00,53.00,-1826786.00,0.03,0.00,-113.05,118.474,5.279
,Mixed / non conventional,4.00,6.00,53.00,55.00,-2196095.50,0.03,0.00,90.48,125.668,5.279
,Mixed / non conventional,4.00,6.00,55.00,57.00,5333836.00,0.03,0.00,-76.54,-270.657,5.279
,Mixed / non conventional,4.00,6.00,57.00,59.00,-1117095.25,0.06,0.00,216.63,50.502,5.279
