,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,55.00,54.00,-32248.18,0.04,0.00,-185.00,47.289,1.582
,Mixed / non conventional,72.00,65.00,54.00,53.00,-54764.89,0.03,0.00,82.46,64.156,1.582
,Mixed / non conventional,72.00,65.00,53.00,45.00,25443.23,0.13,0.00,32.82,-43.662,0.608
,Mixed / non conventional,72.00,65.00,45.00,37.00,87758.98,0.11,0.00,-101.54,-49.412,0.608
,Mixed / non conventional,72.00,65.00,37.00,29.00,219622.91,0.25,0.00,109.95,-41.408,0.452
,Mixed / non conventional,72.00,65.00,29.00,21.00,454601.00,0.22,0.00,-129.83,-45.867,0.452
,Mixed / non conventional,72.00,65.00,68.00,67.00,4413.26,0.82,0.00,70.60,37.228,0.245
,Mixed / non conventional,72.00,65.00,67.00,66.00,2703.95,0.84,0.00,-226.66,56.145,0.245
,Mixed / non conventional,72.00,65.00,66.00,58.00,1562.92,3.56,0.00,-30.34,-34.954,0.184
,Mixed / non conventional,72.00,65.00,58.00,50.00,25064.95,3.51,0.00,30.48,-36.947,0.184
,Mixed / non conventional,72.00,65.00,50.00,42.00,86376.23,0.25,0.00,154.38,-75.151,0.494
,Mixed / non conventional,72.00,65.00,42.00,33.00,115619.03,0.26,0.00,-109.75,-41.229,0.494
,Mixed / non conventional,72.00,65.00,70.00,63.00,-766.30,0.23,0.00,21.13,-41.119,0.489
,Mixed / non conventional,72.00,65.00,4.00,5.00,6136770.50,1.09,0.00,-36.16,49.969,0.952
,Mixed / non conventional,72.00,65.00,14.00,15.00,4474312.50,0.20,0.00,170.26,49.960,0.782
,Mixed / non conventional,72.00,65.00,15.00,7.00,583401.75,0.12,0.00,-119.46,-43.540,0.782
,Mixed / non conventional,72.00,65.00,22.00,23.00,1736954.75,0.38,0.00,15.31,45.411,1.129
,Mixed / non conventional,72.00,65.00,23.00,31.00,240279.23,0.34,0.00,26.63,69.926,1.129
,Mixed / non conventional,72.00,65.00,31.00,30.00,383903.44,0.07,0.00,-39.48,-48.949,3.086
